key,English/reference,한국어,日本語,français (France),português (Brasil),review_type,human_reviewer,human_notes
Score recorded! Keep tracking. 📝,Score recorded! Keep tracking. 📝,,今日のスコアを記録しました。📝,Votre score est enregistré. 📝,Sua nota está registrada. 📝,AI linguistic pass; human review pending,,
Best Day: —,Best Day: —,,最高の曜日：—,Meilleur jour : —,Melhor dia: —,AI linguistic pass; human review pending,,
Record scores to see patterns.,Record scores to see patterns.,,記録を続けると傾向が見えてきます。,Notez vos journées pour voir les tendances.,Registre suas notas para ver as tendências.,AI linguistic pass; human review pending,,
Best Day: %@,Best Day: %@,,最高の曜日：%@,Meilleur jour : %@,Melhor dia: %@,AI linguistic pass; human review pending,,
Worst Day: %@,Worst Day: %@,,低めの曜日：%@,Jour le plus bas : %@,Dia com menor nota: %@,AI linguistic pass; human review pending,,
Highest consistency with an average of %.0f pts,Highest consistency with an average of %.0f pts,,平均%.0f点で最も高い曜日,Moyenne la plus élevée : %.0f points,Maior média: %.0f pontos,AI linguistic pass; human review pending,,
Softer stretch with an average of %.0f pts,Softer stretch with an average of %.0f pts,,平均%.0f点で最も低い曜日,Moyenne la plus basse : %.0f points,Menor média: %.0f pontos,AI linguistic pass; human review pending,,
Weekend vs Weekday,Weekend vs Weekday,,週末と平日,Week-end et semaine,Fim de semana e dias úteis,AI linguistic pass; human review pending,,
Weekends are about 10pts higher on average,Weekends are about 10pts higher on average,,週末は平均で約10点高め,Les week-ends sont environ 10 points au-dessus en moyenne,Os fins de semana têm média cerca de 10 pontos maior,AI linguistic pass; human review pending,,
Home,Home,홈,ホーム,Accueil,Início,AI linguistic pass; human review pending,,
%@ 차단,%@ 차단,,%@にブロック,Bloqué le %@,Bloqueado em %@,AI linguistic pass; human review pending,,
No diary pressure. Just one number that remembers how today felt.,No diary pressure. Just one number that remembers how today felt.,,長く書かなくても大丈夫。今日を点数で残そう。,Pas besoin d’écrire un journal. Un score suffit pour garder une trace du jour.,Não precisa escrever um diário. Uma nota já registra como foi o dia.,AI linguistic pass; human review pending,,
"A live emotional pulse from real days, cities, and tiny moments.","A live emotional pulse from real days, cities, and tiny moments.",,いろいろな街のみんなの一日を見てみよう。,Découvrez les journées partagées depuis différentes villes.,Veja os dias compartilhados por pessoas de várias cidades.,AI linguistic pass; human review pending,,
Try your first Scoor,Try your first Scoor,,はじめてのスコアをつける,Donner mon premier Scoor,Dar meu primeiro Scoor,AI linguistic pass; human review pending,,
Next,Next,,次へ,Suivant,Próximo,AI linguistic pass; human review pending,,
Save my first Scoor,Save my first Scoor,,最初のScoorを保存,Enregistrer mon premier Scoor,Salvar meu primeiro Scoor,AI linguistic pass; human review pending,,
%+d vs yesterday,%+d vs yesterday,,昨日より%+d点,%+d par rapport à hier,%+d em relação a ontem,AI linguistic pass; human review pending,,
%.0f pts,%.0f pts,,%.0f点,%.0f pts,%.0f pts,AI linguistic pass; human review pending,,
